t_s,target_deg,joint_deg,leaf_world_deg,phase
14.205,0.0,-0.333,-0.333,closer_spring
14.305,0.0,-0.333,-0.333,closer_spring
14.405,0.0,-0.333,-0.333,closer_spring
14.505,0.0,-0.333,-0.333,closer_spring
14.605,0.0,-0.333,-0.333,closer_spring
14.705,0.0,-0.333,-0.333,closer_spring
14.805,0.0,-0.333,-0.333,closer_spring
14.905,0.0,-0.333,-0.333,closer_spring
15.005,0.0,-0.333,-0.333,closer_spring
15.105,0.0,-0.333,-0.333,closer_spring
15.205,0.0,-0.333,-0.333,closer_spring
15.305,0.0,-0.333,-0.333,closer_spring
15.405,0.0,-0.333,-0.333,closer_spring
15.505,0.0,-0.333,-0.333,closer_spring
15.605,0.0,-0.333,-0.333,closer_spring
15.705,0.0,-0.333,-0.333,closer_spring
15.805,0.0,-0.333,-0.333,closer_spring
15.905,0.0,-0.333,-0.333,closer_spring
16.005,0.0,-0.333,-0.333,closer_spring
16.105,0.0,-0.333,-0.333,closer_spring
16.205,0.0,-0.333,-0.333,closer_spring
16.305,0.0,-0.333,-0.333,closer_spring
16.405,0.0,-0.333,-0.333,closer_spring
16.505,0.0,-0.333,-0.333,closer_spring
16.605,0.0,-0.333,-0.333,closer_spring
16.705,0.0,-0.333,-0.333,closer_spring
16.805,0.0,-0.333,-0.333,closer_spring
16.905,0.0,-0.333,-0.333,closer_spring
17.005,0.0,-0.333,-0.333,closer_spring
17.105,0.0,-0.333,-0.333,closer_spring
17.205,0.0,-0.333,-0.333,closer_spring
17.305,0.0,-0.333,-0.333,closer_spring
17.405,0.0,-0.333,-0.333,closer_spring
17.505,0.0,-0.333,-0.333,closer_spring
17.605,0.0,-0.333,-0.333,closer_spring
17.705,0.0,-0.333,-0.333,closer_spring
17.805,0.0,-0.333,-0.333,closer_spring
17.905,0.0,-0.333,-0.333,closer_spring
