link,mass_kg,com_local_x,com_local_y,com_local_z,world_x,world_y,world_z,qw,qx,qy,qz,ixx,iyy,izz
Link_21L,0.004497,0.007826,-5e-06,-0.004125,7.530918,2.046153,0.639885,-0.595092,-0.161232,-0.78649,-0.036092,9e-08,1.4e-07,1e-07
Link_31L,0.004497,0.007826,-5e-06,-0.004125,7.525325,2.026541,0.630717,-0.595093,-0.161229,-0.78649,-0.036094,9e-08,1.4e-07,1e-07
Link_51L,0.004497,0.007826,-5e-06,-0.004125,7.517973,1.98257,0.627171,-0.595092,-0.161232,-0.78649,-0.036092,9e-08,1.4e-07,1e-07
Link_11L,0.02363,-0.008418,0.000123,-0.003247,7.563235,2.012599,0.699862,0.670141,-0.395273,-0.446314,0.442124,2.64e-06,3.61e-06,3.86e-06
Link_21R,0.004497,0.007826,-5e-06,-0.004125,8.069145,2.045725,0.639885,0.036565,-0.786619,-0.160604,0.595063,9e-08,1.4e-07,1e-07
Link_31R,0.004497,0.007826,-5e-06,-0.004125,8.074707,2.026103,0.630717,0.036565,-0.786619,-0.160604,0.595063,9e-08,1.4e-07,1e-07
Link_41R,0.004497,0.007826,-5e-06,-0.004125,8.078348,2.004112,0.628944,0.036565,-0.786619,-0.160604,0.595063,9e-08,1.4e-07,1e-07
Link_51R,0.004497,0.007826,-5e-06,-0.004125,8.081988,1.982121,0.627171,0.036566,-0.786618,-0.160606,0.595063,9e-08,1.4e-07,1e-07
Link_11R,0.02363,-0.008418,0.000123,-0.003247,8.036775,2.012222,0.699862,0.446629,-0.442658,-0.669789,0.394917,2.64e-06,3.61e-06,3.86e-06
Link_42L,0.017982,0.021242,-0.005936,5.9e-05,7.520642,2.005801,0.625061,-0.306788,-0.5348,-0.581655,0.530611,1.21e-06,4.08e-06,4.37e-06
Link_22L,0.017982,0.021242,-0.005936,5.9e-05,7.529912,2.047399,0.636002,-0.306785,-0.534802,-0.581654,0.530612,1.21e-06,4.08e-06,4.37e-06
Link_32L,0.017982,0.021242,-0.005936,5.9e-05,7.524318,2.027786,0.626834,-0.306788,-0.5348,-0.581655,0.530611,1.21e-06,4.08e-06,4.37e-06
Link_52L,0.017982,0.021242,-0.005936,5.9e-05,7.516967,1.983816,0.623288,-0.306785,-0.534802,-0.581654,0.530612,1.21e-06,4.08e-06,4.37e-06
Link_12L,0.015809,0.014668,1.3e-05,-0.004099,7.563233,2.012589,0.699859,0.753361,0.194361,-0.002963,0.628221,3.07e-06,4.05e-06,3.63e-06
Link_22R,0.017982,0.021242,-0.005936,5.9e-05,8.070153,2.046969,0.636003,0.582079,-0.530368,0.307209,0.534338,1.21e-06,4.08e-06,4.37e-06
Link_32R,0.017982,0.021242,-0.005936,5.9e-05,8.075715,2.027347,0.626834,0.582079,-0.530368,0.307209,0.534338,1.21e-06,4.08e-06,4.37e-06
Link_42R,0.017982,0.021242,-0.005936,5.9e-05,8.079356,2.005356,0.625061,0.582079,-0.530368,0.307209,0.534338,1.21e-06,4.08e-06,4.37e-06
Link_52R,0.017982,0.021242,-0.005936,5.9e-05,8.082996,1.983365,0.623288,0.582079,-0.530367,0.307208,0.534339,1.21e-06,4.08e-06,4.37e-06
Link_12R,0.015809,0.014668,1.3e-05,-0.004099,8.036777,2.012212,0.699859,0.628821,0.002808,-0.194363,0.752861,3.07e-06,4.05e-06,3.63e-06
Link_43L,0.012776,0.011393,-0.005777,1e-06,7.511053,2.017664,0.588084,-0.306788,-0.5348,-0.581655,0.530611,6.4e-07,6.3e-07,8.3e-07
Link_23L,0.012776,0.011393,-0.005777,1e-06,7.520322,2.059262,0.599025,-0.306785,-0.534802,-0.581654,0.530612,6.4e-07,6.3e-07,8.3e-07
Link_33L,0.012776,0.011393,-0.005777,1e-06,7.514729,2.039649,0.589857,-0.306788,-0.5348,-0.581655,0.530611,6.4e-07,6.3e-07,8.3e-07
Link_53L,0.012776,0.011393,-0.005777,1e-06,7.507377,1.995679,0.586311,-0.306785,-0.534802,-0.581654,0.530612,6.4e-07,6.3e-07,8.3e-07
Link_13L,0.06674,0.018557,-0.006933,0.000159,7.568851,2.046039,0.702643,0.670141,-0.395273,-0.446314,0.442124,9.11e-06,2.293e-05,2.388e-05
Link_23R,0.012776,0.011393,-0.005777,1e-06,8.079762,2.058816,0.599025,0.582079,-0.530368,0.307209,0.534338,6.4e-07,6.3e-07,8.3e-07
Link_33R,0.012776,0.011393,-0.005777,1e-06,8.085323,2.039195,0.589857,0.582079,-0.530368,0.307209,0.534338,6.4e-07,6.3e-07,8.3e-07
Link_43R,0.012776,0.011393,-0.005777,1e-06,8.088964,2.017204,0.588084,0.582079,-0.530368,0.307209,0.534338,6.4e-07,6.3e-07,8.3e-07
Link_53R,0.012776,0.011393,-0.005777,1e-06,8.092605,1.995213,0.586311,0.582079,-0.530367,0.307208,0.534339,6.4e-07,6.3e-07,8.3e-07
Link_13R,0.06674,0.018557,-0.006933,0.000159,8.031211,2.045672,0.702643,0.446632,-0.442653,-0.669792,0.394914,9.11e-06,2.293e-05,2.388e-05
Link_44L,0.006399,0.009354,-0.004824,7.2e-05,7.506784,2.023779,0.568453,-0.306788,-0.5348,-0.581655,0.530611,5e-07,1.47e-06,1.45e-06
Link_24L,0.006399,0.009354,-0.004824,7.2e-05,7.516053,2.065377,0.579393,-0.306785,-0.534802,-0.581653,0.530612,5e-07,1.47e-06,1.45e-06
Link_34L,0.006399,0.009354,-0.004824,7.2e-05,7.51046,2.045764,0.570225,-0.306788,-0.5348,-0.581655,0.530611,5e-07,1.47e-06,1.45e-06
Link_54L,0.006399,0.009354,-0.004824,7.2e-05,7.503109,2.001794,0.566679,-0.306785,-0.534802,-0.581653,0.530612,5e-07,1.47e-06,1.45e-06
Link_14L,0.020073,0.028085,0.003322,0.000472,7.57785,2.079058,0.716707,0.670141,-0.395273,-0.446314,0.442124,1.94e-06,6.08e-06,5.61e-06
Link_24R,0.006399,0.009354,-0.004824,7.2e-05,8.084041,2.064924,0.579394,0.582079,-0.530368,0.307209,0.534338,5e-07,1.47e-06,1.45e-06
Link_34R,0.006399,0.009354,-0.004824,7.2e-05,8.089602,2.045303,0.570226,0.582079,-0.530368,0.307209,0.534338,5e-07,1.47e-06,1.45e-06
Link_44R,0.006399,0.009354,-0.004824,7.2e-05,8.093244,2.023312,0.568453,0.582079,-0.530368,0.307209,0.534338,5e-07,1.47e-06,1.45e-06
Link_54R,0.006399,0.009354,-0.004824,7.2e-05,8.096884,2.001321,0.566679,0.582079,-0.530367,0.307208,0.534339,5e-07,1.47e-06,1.45e-06
Link_14R,0.020073,0.028085,0.003322,0.000472,8.022265,2.078705,0.716707,0.446632,-0.442653,-0.669792,0.394914,1.94e-06,6.08e-06,5.61e-06
