index,time_ms,time_realtime_ms,time_monotonic_ms,ros_timestamp,base_qw,base_qx,base_qy,base_qz
62,1240.002,1787268342246.923,169423524.221,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
63,1260.006,1787268342266.927,169423544.225,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
64,1279.993,1787268342286.914,169423564.211,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
65,1299.996,1787268342306.917,169423584.214,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
66,1319.998,1787268342326.919,169423604.216,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
67,1339.994,1787268342346.915,169423624.212,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
68,1360.002,1787268342366.923,169423644.221,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
69,1380.012,1787268342386.933,169423664.230,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
70,1400.001,1787268342406.922,169423684.220,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
71,1420.007,1787268342426.928,169423704.225,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
72,1440.008,1787268342446.929,169423724.227,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
73,1459.994,1787268342466.915,169423744.212,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
74,1480.004,1787268342486.925,169423764.222,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
75,1499.993,1787268342506.914,169423784.211,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
76,1520.009,1787268342526.930,169423804.227,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
77,1539.998,1787268342546.919,169423824.216,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
78,1560.000,1787268342566.921,169423844.218,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
79,1579.992,1787268342586.913,169423864.210,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
80,1599.994,1787268342606.915,169423884.212,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
81,1620.001,1787268342626.922,169423904.220,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
82,1640.003,1787268342646.924,169423924.221,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
83,1659.991,1787268342666.912,169423944.210,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
84,1679.995,1787268342686.916,169423964.213,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
85,1699.997,1787268342706.917,169423984.215,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
86,1719.990,1787268342726.911,169424004.208,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
87,1740.015,1787268342746.936,169424024.233,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
88,1759.998,1787268342766.918,169424044.216,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
89,1779.991,1787268342786.912,169424064.209,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
90,1799.995,1787268342806.916,169424084.213,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
91,1819.994,1787268342826.916,169424104.213,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
92,1840.005,1787268342846.926,169424124.223,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
93,1860.008,1787268342866.929,169424144.227,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
94,1879.998,1787268342886.919,169424164.217,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
95,1899.992,1787268342906.914,169424184.211,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
96,1919.995,1787268342926.917,169424204.214,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
97,1939.991,1787268342946.912,169424224.209,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
98,1959.999,1787268342966.920,169424244.218,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
99,1979.998,1787268342986.919,169424264.216,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
100,2000.000,1787268343006.921,169424284.218,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
101,2020.084,1787268343027.005,169424304.302,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
102,2040.004,1787268343046.925,169424324.222,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
103,2059.997,1787268343066.918,169424344.216,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
104,2080.005,1787268343086.926,169424364.224,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
105,2099.999,1787268343106.920,169424384.217,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
106,2119.990,1787268343126.911,169424404.209,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
107,2140.003,1787268343146.924,169424424.221,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
108,2160.004,1787268343166.925,169424444.222,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
109,2180.002,1787268343186.923,169424464.220,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
110,2200.001,1787268343206.922,169424484.219,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
111,2220.141,1787268343227.062,169424504.359,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
112,2240.004,1787268343246.925,169424524.222,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
113,2260.003,1787268343266.924,169424544.221,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
114,2279.992,1787268343286.913,169424564.210,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
115,2299.991,1787268343306.912,169424584.209,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
116,2319.993,1787268343326.914,169424604.211,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
117,2339.994,1787268343346.915,169424624.212,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
118,2359.992,1787268343366.913,169424644.210,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
119,2379.996,1787268343386.917,169424664.214,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
120,2399.991,1787268343406.912,169424684.209,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
121,2419.990,1787268343426.911,169424704.209,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
122,2439.996,1787268343446.917,169424724.215,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
123,2460.005,1787268343466.926,169424744.223,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
124,2480.001,1787268343486.922,169424764.219,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
125,2500.002,1787268343506.923,169424784.220,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
126,2519.992,1787268343526.913,169424804.211,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
127,2540.001,1787268343546.922,169424824.220,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
128,2559.997,1787268343566.918,169424844.215,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
129,2579.991,1787268343586.912,169424864.210,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
130,2600.001,1787268343606.922,169424884.219,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
131,2619.996,1787268343626.917,169424904.214,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
132,2640.004,1787268343646.925,169424924.223,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
133,2660.001,1787268343666.922,169424944.219,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
134,2679.993,1787268343686.914,169424964.211,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
135,2700.006,1787268343706.927,169424984.225,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
136,2720.000,1787268343726.921,169425004.218,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
137,2740.003,1787268343746.924,169425024.222,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
138,2759.994,1787268343766.916,169425044.213,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
139,2779.993,1787268343786.914,169425064.211,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
140,2799.998,1787268343806.919,169425084.216,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
