index,time_ms,time_realtime_ms,time_monotonic_ms,ros_timestamp,torso_qw,torso_qx,torso_qy,torso_qz
1560,31199.994,1787268372206.915,169453484.212,0.000000000,0.676723719,-0.022329019,0.735610962,0.020565968
1561,31220.002,1787268372226.923,169453504.220,0.000000000,0.676726520,-0.022332536,0.735608280,0.020563204
1562,31239.992,1787268372246.913,169453524.210,0.000000000,0.676731706,-0.022337707,0.735603631,0.020557761
1563,31259.999,1787268372266.920,169453544.217,0.000000000,0.676741004,-0.022336153,0.735594928,0.020565186
1564,31279.999,1787268372286.920,169453564.218,0.000000000,0.676741958,-0.022330089,0.735594094,0.020571506
1565,31299.990,1787268372306.911,169453584.209,0.000000000,0.676748693,-0.022316290,0.735588074,0.020576829
1566,31319.989,1787268372326.910,169453604.208,0.000000000,0.676752806,-0.022318009,0.735584319,0.020575056
1567,31339.999,1787268372346.920,169453624.217,0.000000000,0.676760077,-0.022314366,0.735577703,0.020576427
1568,31359.999,1787268372366.920,169453644.217,0.000000000,0.676759720,-0.022323603,0.735577881,0.020570945
1569,31380.002,1787268372386.923,169453664.221,0.000000000,0.676759660,-0.022322513,0.735578060,0.020567669
1570,31399.991,1787268372406.912,169453684.209,0.000000000,0.676760375,-0.022333154,0.735577285,0.020562146
1571,31420.001,1787268372426.922,169453704.219,0.000000000,0.676762342,-0.022341894,0.735575378,0.020557461
1572,31439.992,1787268372446.913,169453724.211,0.000000000,0.676755071,-0.022326171,0.735582292,0.020562215
1573,31459.999,1787268372466.920,169453744.217,0.000000000,0.676751971,-0.022308869,0.735585511,0.020569419
1574,31480.003,1787268372486.924,169453764.221,0.000000000,0.676756263,-0.022317298,0.735581398,0.020565210
1575,31499.998,1787268372506.918,169453784.216,0.000000000,0.676760554,-0.022309648,0.735577703,0.020566240
1576,31519.992,1787268372526.914,169453804.211,0.000000000,0.676762581,-0.022316856,0.735575736,0.020559011
1577,31539.991,1787268372546.912,169453824.209,0.000000000,0.676767290,-0.022317175,0.735571444,0.020561250
1578,31559.998,1787268372566.919,169453844.216,0.000000000,0.676768184,-0.022317594,0.735570550,0.020560026
1579,31579.990,1787268372586.911,169453864.208,0.000000000,0.676770031,-0.022317080,0.735569000,0.020559713
1580,31599.989,1787268372606.910,169453884.208,0.000000000,0.676770210,-0.022325225,0.735568702,0.020552341
1581,31619.998,1787268372626.919,169453904.217,0.000000000,0.676771104,-0.022329452,0.735567808,0.020546159
1582,31639.990,1787268372646.911,169453924.208,0.000000000,0.676770747,-0.022329561,0.735568225,0.020545095
1583,31659.998,1787268372666.918,169453944.216,0.000000000,0.676773131,-0.022321843,0.735566258,0.020546699
1584,31679.998,1787268372686.918,169453964.216,0.000000000,0.676779389,-0.022325208,0.735560536,0.020541681
1585,31700.003,1787268372706.924,169453984.221,0.000000000,0.676780045,-0.022325998,0.735559881,0.020541441
1586,31719.990,1787268372726.911,169454004.208,0.000000000,0.676778615,-0.022319052,0.735561311,0.020548472
