index,time_ms,time_realtime_ms,time_monotonic_ms,ros_timestamp,base_ax,base_ay,base_az
581,11620.001,1787268352626.922,169433904.219,0.000000000,-4.358352661,0.009214686,8.784934044
582,11639.992,1787268352646.914,169433924.211,0.000000000,-4.590514183,0.010032976,8.665879250
583,11661.205,1787268352668.126,169433945.424,0.000000000,-4.686512947,0.010070738,8.614341736
584,11679.993,1787268352686.915,169433964.212,0.000000000,-4.968620300,0.011434051,8.454766273
585,11699.998,1787268352706.918,169433984.216,0.000000000,-5.054133415,0.012469383,8.403925896
586,11720.002,1787268352726.923,169434004.221,0.000000000,-5.351661205,0.011695553,8.217661858
587,11740.001,1787268352746.922,169434024.219,0.000000000,-5.458400249,0.010499096,8.147155762
588,11759.992,1787268352766.913,169434044.211,0.000000000,-5.709311962,0.006239267,7.973337173
589,11779.998,1787268352786.919,169434064.216,0.000000000,-5.926084042,0.002392987,7.813571930
590,11799.998,1787268352806.919,169434084.216,0.000000000,-6.071260452,0.000288810,7.701310635
591,11819.991,1787268352826.912,169434104.209,0.000000000,-6.417834759,-0.004578080,7.414968967
592,11839.994,1787268352846.915,169434124.212,0.000000000,-6.509518147,-0.005761766,7.334611416
593,11859.999,1787268352866.920,169434144.218,0.000000000,-6.803572178,-0.009246950,7.062698364
594,11880.000,1787268352886.921,169434164.218,0.000000000,-6.895674229,-0.010031272,6.972800732
595,11900.011,1787268352906.932,169434184.230,0.000000000,-7.172281742,-0.012599060,6.687944889
596,11920.009,1787268352926.930,169434204.227,0.000000000,-7.227540016,-0.013154510,6.628188610
597,11940.001,1787268352946.922,169434224.219,0.000000000,-7.539267540,-0.016808225,6.271327496
598,11960.003,1787268352966.924,169434244.222,0.000000000,-7.648355961,-0.017016329,6.137813091
599,11980.000,1787268352986.921,169434264.219,0.000000000,-7.900022984,-0.018880606,5.810307503
600,11999.999,1787268353006.920,169434284.217,0.000000000,-8.128569603,-0.020619864,5.486011505
601,12019.992,1787268353026.913,169434304.210,0.000000000,-8.265863419,-0.021375639,5.276876926
602,12039.994,1787268353046.915,169434324.212,0.000000000,-8.562640190,-0.023789668,4.780274868
603,12060.005,1787268353066.926,169434344.223,0.000000000,-8.672475815,-0.024840210,4.577983856
604,12079.994,1787268353086.915,169434364.212,0.000000000,-8.880895615,-0.026395179,4.159252644
605,12099.991,1787268353106.912,169434384.209,0.000000000,-9.019444466,-0.026862886,3.849585772
606,12119.998,1787268353126.919,169434404.217,0.000000000,-9.148562431,-0.026673079,3.531780243
607,12140.002,1787268353146.923,169434424.221,0.000000000,-9.282362938,-0.035830207,3.163361073
608,12160.005,1787268353166.926,169434444.223,0.000000000,-9.356101990,-0.039332706,2.938058138
609,12180.007,1787268353186.928,169434464.226,0.000000000,-9.469964981,-0.043361034,2.547211409
610,12199.990,1787268353206.911,169434484.209,0.000000000,-9.512835503,-0.045295585,2.382077694
611,12219.996,1787268353226.917,169434504.215,0.000000000,-9.606312752,-0.050065294,1.971454144
612,12239.995,1787268353246.916,169434524.213,0.000000000,-9.633415222,-0.050759431,1.834421992
613,12259.992,1787268353266.913,169434544.210,0.000000000,-9.703617096,-0.039942537,1.417260170
614,12280.002,1787268353286.923,169434564.221,0.000000000,-9.723480225,-0.033675697,1.274039745
615,12300.002,1787268353306.923,169434584.220,0.000000000,-9.770819664,-0.018930718,0.837323427
616,12320.001,1787268353326.922,169434604.220,0.000000000,-9.783952713,-0.015431791,0.666644633
617,12340.002,1787268353346.923,169434624.220,0.000000000,-9.802518845,0.062999286,0.277602285
618,12360.006,1787268353366.927,169434644.224,0.000000000,-9.805410385,0.053240001,-0.146648332
619,12380.002,1787268353386.923,169434664.221,0.000000000,-9.780854225,0.002251426,-0.710825622
620,12400.010,1787268353406.931,169434684.228,0.000000000,-9.767430305,0.026306294,-0.875787735
621,12420.005,1787268353426.927,169434704.224,0.000000000,-9.764007568,0.039972670,-0.912670672
622,12439.994,1787268353446.915,169434724.213,0.000000000,-9.747318268,0.074988946,-1.074488878
623,12460.003,1787268353466.925,169434744.222,0.000000000,-9.742160797,0.084352963,-1.119639516
624,12479.999,1787268353486.920,169434764.218,0.000000000,-9.721982002,0.120178379,-1.280244708
625,12499.998,1787268353506.920,169434784.217,0.000000000,-9.705704689,0.151043817,-1.395310760
626,12519.998,1787268353526.918,169434804.216,0.000000000,-9.694146156,0.175877556,-1.470709443
627,12539.999,1787268353546.920,169434824.217,0.000000000,-9.677767754,0.220044479,-1.569320798
628,12560.079,1787268353567.000,169434844.297,0.000000000,-9.674588203,0.231470779,-1.587192178
629,12580.004,1787268353586.925,169434864.222,0.000000000,-9.665678024,0.274046779,-1.633995175
630,12599.998,1787268353606.919,169434884.217,0.000000000,-9.662562370,0.301873326,-1.647464156
631,12619.997,1787268353626.918,169434904.215,0.000000000,-9.662103653,0.329824775,-1.644790530
632,12640.004,1787268353646.926,169434924.223,0.000000000,-9.665542603,0.376274079,-1.614344001
633,12660.015,1787268353666.937,169434944.234,0.000000000,-9.667884827,0.391099036,-1.596682549
634,12679.990,1787268353686.911,169434964.208,0.000000000,-9.676472664,0.429142088,-1.533658862
635,12700.001,1787268353706.922,169434984.219,0.000000000,-9.682582855,0.447766870,-1.489135027
636,12720.000,1787268353726.921,169435004.219,0.000000000,-9.692143440,0.469463348,-1.418582201
637,12739.994,1787268353746.915,169435024.212,0.000000000,-9.709883690,0.492440313,-1.282995582
638,12759.991,1787268353766.912,169435044.209,0.000000000,-9.716767311,0.499033749,-1.227097631
639,12779.998,1787268353786.919,169435064.216,0.000000000,-9.732307434,0.505561769,-1.094084024
640,12799.997,1787268353806.918,169435084.215,0.000000000,-9.736744881,0.503513932,-1.054838419
641,12820.004,1787268353826.925,169435104.223,0.000000000,-9.752085686,0.488199741,-0.910431683
642,12839.989,1787268353846.910,169435124.208,0.000000000,-9.762521744,0.472201675,-0.800362229
643,12859.998,1787268353866.920,169435144.217,0.000000000,-9.767580032,0.462905079,-0.741934657
644,12879.991,1787268353886.912,169435164.209,0.000000000,-9.781454086,0.431460708,-0.554444194
645,12899.990,1787268353906.911,169435184.209,0.000000000,-9.785934448,0.370848835,-0.518007934
646,12920.152,1787268353927.073,169435204.370,0.000000000,-9.796278954,0.124301136,-0.433438182
647,12940.003,1787268353946.924,169435224.221,0.000000000,-9.797204018,0.020503042,-0.429812074
648,12960.002,1787268353966.923,169435244.220,0.000000000,-9.796278954,0.019888598,-0.450498581
649,12979.994,1787268353986.915,169435264.212,0.000000000,-9.796339035,0.027542612,-0.448759496
650,13000.001,1787268354006.922,169435284.219,0.000000000,-9.796652794,0.026541868,-0.441901505
651,13019.991,1787268354026.912,169435304.210,0.000000000,-9.797681808,0.024727210,-0.418619722
652,13039.998,1787268354046.919,169435324.216,0.000000000,-9.799166679,0.026219921,-0.382115543
653,13059.991,1787268354066.912,169435344.210,0.000000000,-9.799727440,0.027449302,-0.367412001
654,13079.993,1787268354086.915,169435364.212,0.000000000,-9.801120758,0.032914944,-0.327589780
655,13099.999,1787268354106.920,169435384.217,0.000000000,-9.801854134,0.037539992,-0.304365873
656,13119.998,1787268354126.920,169435404.217,0.000000000,-9.802667618,0.042849861,-0.276107192
657,13139.991,1787268354146.912,169435424.209,0.000000000,-9.803503036,0.050984234,-0.243146971
658,13160.000,1787268354166.921,169435444.219,0.000000000,-9.803649902,0.053900864,-0.236487716
659,13179.995,1787268354186.916,169435464.213,0.000000000,-9.803804398,0.063859932,-0.227448195
660,13200.000,1787268354206.921,169435484.219,0.000000000,-9.803676605,0.073788442,-0.229901344
661,13219.994,1787268354226.915,169435504.212,0.000000000,-9.803550720,0.081166118,-0.232853070
662,13239.998,1787268354246.919,169435524.216,0.000000000,-9.803277969,0.099315852,-0.237181798
663,13260.000,1787268354266.921,169435544.219,0.000000000,-9.803178787,0.106301375,-0.238233626
664,13279.999,1787268354286.920,169435564.218,0.000000000,-9.802930832,0.123894513,-0.239978313
665,13300.000,1787268354306.922,169435584.219,0.000000000,-9.802764893,0.133525610,-0.241541862
666,13320.008,1787268354326.930,169435604.227,0.000000000,-9.802738190,0.135379314,-0.241604358
667,13339.993,1787268354346.915,169435624.212,0.000000000,-9.802652359,0.140547574,-0.242162138
668,13360.004,1787268354366.925,169435644.222,0.000000000,-9.802607536,0.143176213,-0.242424995
669,13379.995,1787268354386.916,169435664.214,0.000000000,-9.802571297,0.145388350,-0.242608845
670,13399.992,1787268354406.913,169435684.210,0.000000000,-9.802579880,0.145376578,-0.242260247
671,13420.007,1787268354426.928,169435704.225,0.000000000,-9.802575111,0.145502806,-0.242427275
672,13440.003,1787268354446.924,169435724.221,0.000000000,-9.802559853,0.145758837,-0.242817059
673,13459.999,1787268354466.920,169435744.218,0.000000000,-9.802515984,0.146277159,-0.244321898
674,13479.995,1787268354486.916,169435764.213,0.000000000,-9.802496910,0.146456063,-0.244927377
675,13499.995,1787268354506.916,169435784.213,0.000000000,-9.802448273,0.145948753,-0.247244418
676,13519.995,1787268354526.916,169435804.213,0.000000000,-9.802405357,0.145304650,-0.249246180
677,13539.998,1787268354546.919,169435824.216,0.000000000,-9.802410126,0.143999889,-0.249802589
678,13560.006,1787268354566.927,169435844.224,0.000000000,-9.802406311,0.141491547,-0.251406133
679,13579.994,1787268354586.915,169435864.212,0.000000000,-9.802399635,0.140340775,-0.252256602
680,13599.987,1787268354606.908,169435884.205,0.000000000,-9.802397728,0.138720796,-0.253250718
681,13620.003,1787268354626.924,169435904.221,0.000000000,-9.802361488,0.140828490,-0.253522545
682,13639.997,1787268354646.918,169435924.215,0.000000000,-9.802359581,0.140922830,-0.253512293
683,13660.003,1787268354666.924,169435944.221,0.000000000,-9.802403450,0.140067667,-0.252294093
684,13680.008,1787268354686.929,169435964.226,0.000000000,-9.802443504,0.139777452,-0.250889540
685,13699.991,1787268354706.912,169435984.210,0.000000000,-9.802463531,0.140042931,-0.249946281
686,13720.000,1787268354726.921,169436004.218,0.000000000,-9.802472115,0.139918804,-0.249696955
687,13740.000,1787268354746.922,169436024.219,0.000000000,-9.802477837,0.139896944,-0.249472782
688,13759.994,1787268354766.915,169436044.212,0.000000000,-9.802479744,0.139576316,-0.249556601
689,13779.998,1787268354786.918,169436064.216,0.000000000,-9.802495003,0.138685748,-0.249520704
690,13799.993,1787268354806.914,169436084.211,0.000000000,-9.802498817,0.138534606,-0.249422446
691,13819.999,1787268354826.920,169436104.218,0.000000000,-9.802531242,0.137411311,-0.248765364
692,13840.007,1787268354846.928,169436124.225,0.000000000,-9.802557945,0.136559203,-0.248199970
693,13860.003,1787268354866.924,169436144.221,0.000000000,-9.802562714,0.136519969,-0.247978896
694,13879.989,1787268354886.910,169436164.207,0.000000000,-9.802598953,0.135518998,-0.247126818
695,13900.019,1787268354906.941,169436184.238,0.000000000,-9.802615166,0.135327101,-0.246630639
696,13920.008,1787268354926.929,169436204.226,0.000000000,-9.802611351,0.135452420,-0.246659309
697,13939.999,1787268354946.920,169436224.217,0.000000000,-9.802618027,0.135525316,-0.246406943
698,13960.000,1787268354966.921,169436244.219,0.000000000,-9.802606583,0.135514498,-0.246871188
699,13980.007,1787268354986.928,169436264.225,0.000000000,-9.802599907,0.134789437,-0.247522473
700,13999.992,1787268355006.914,169436284.211,0.000000000,-9.802586555,0.134672627,-0.248124629
701,14019.989,1787268355026.910,169436304.208,0.000000000,-9.802577019,0.134568155,-0.248530105
702,14040.054,1787268355046.975,169436324.273,0.000000000,-9.802571297,0.134182885,-0.249009445
703,14059.990,1787268355066.911,169436344.209,0.000000000,-9.802565575,0.133939222,-0.249356762
704,14080.005,1787268355086.926,169436364.223,0.000000000,-9.802570343,0.133785561,-0.249286726
705,14100.014,1787268355106.936,169436384.233,0.000000000,-9.802556038,0.133542910,-0.249907106
706,14120.004,1787268355126.925,169436404.222,0.000000000,-9.802567482,0.133120775,-0.249648526
707,14139.995,1787268355146.916,169436424.213,0.000000000,-9.802569389,0.133190557,-0.249554545
708,14160.002,1787268355166.923,169436444.220,0.000000000,-9.802557945,0.133356825,-0.249914244
709,14179.996,1787268355186.917,169436464.215,0.000000000,-9.802549362,0.133493617,-0.250161797
710,14200.000,1787268355206.921,169436484.219,0.000000000,-9.802543640,0.133465379,-0.250471979
711,14219.992,1787268355226.913,169436504.210,0.000000000,-9.802515984,0.133401856,-0.251577467
712,14240.014,1787268355246.936,169436524.233,0.000000000,-9.802529335,0.132704735,-0.251358360
713,14259.998,1787268355266.919,169436544.216,0.000000000,-9.802519798,0.132775784,-0.251792103
714,14280.001,1787268355286.922,169436564.219,0.000000000,-9.802495956,0.132514492,-0.252798826
715,14300.002,1787268355306.923,169436584.220,0.000000000,-9.802487373,0.131997660,-0.253376067
716,14319.995,1787268355326.916,169436604.214,0.000000000,-9.802495956,0.131613582,-0.253301322
717,14339.994,1787268355346.915,169436624.212,0.000000000,-9.802479744,0.131650075,-0.253867537
718,14360.000,1787268355366.921,169436644.219,0.000000000,-9.802470207,0.131700516,-0.254229903
719,14380.001,1787268355386.922,169436664.219,0.000000000,-9.802469254,0.131999373,-0.254101515
720,14400.001,1787268355406.922,169436684.219,0.000000000,-9.802456856,0.131845310,-0.254650623
721,14420.005,1787268355426.926,169436704.224,0.000000000,-9.802444458,0.131750122,-0.255179375
722,14440.000,1787268355446.921,169436724.219,0.000000000,-9.802448273,0.131286293,-0.255327940
723,14460.000,1787268355466.921,169436744.219,0.000000000,-9.802447319,0.131331310,-0.255244583
724,14480.012,1787268355486.933,169436764.231,0.000000000,-9.802456856,0.130904153,-0.255147278
725,14499.995,1787268355506.916,169436784.214,0.000000000,-9.802425385,0.131010532,-0.256301075
726,14519.999,1787268355526.920,169436804.217,0.000000000,-9.802427292,0.130438134,-0.256518215
727,14539.993,1787268355546.914,169436824.211,0.000000000,-9.802442551,0.130513623,-0.255873561
728,14559.998,1787268355566.919,169436844.216,0.000000000,-9.802418709,0.130633235,-0.256689608
729,14580.003,1787268355586.924,169436864.221,0.000000000,-9.802422523,0.130529225,-0.256682217
730,14599.993,1787268355606.915,169436884.212,0.000000000,-9.802432060,0.130021289,-0.256455630
731,14619.989,1787268355626.910,169436904.207,0.000000000,-9.802424431,0.129958734,-0.256896019
732,14640.007,1787268355646.928,169436924.226,0.000000000,-9.802418709,0.130281568,-0.256917626
733,14660.001,1787268355666.922,169436944.219,0.000000000,-9.802412033,0.130680084,-0.256987035
734,14679.998,1787268355686.919,169436964.217,0.000000000,-9.802416801,0.130878925,-0.256679177
735,14699.991,1787268355706.912,169436984.210,0.000000000,-9.802415848,0.130943283,-0.256693482
736,14719.999,1787268355726.920,169437004.218,0.000000000,-9.802413940,0.130562335,-0.256970793
737,14740.002,1787268355746.923,169437024.220,0.000000000,-9.802408218,0.130957589,-0.256994218
738,14759.991,1787268355766.912,169437044.209,0.000000000,-9.802407265,0.131076828,-0.256959826
739,14780.030,1787268355786.951,169437064.248,0.000000000,-9.802404404,0.130770117,-0.257259369
740,14799.998,1787268355806.919,169437084.216,0.000000000,-9.802395821,0.131416172,-0.257234275
741,14819.992,1787268355826.913,169437104.210,0.000000000,-9.802398682,0.131294817,-0.257193357
742,14839.999,1787268355846.920,169437124.217,0.000000000,-9.802373886,0.131515697,-0.257999748
743,14860.003,1787268355866.924,169437144.222,0.000000000,-9.802366257,0.131683901,-0.258189976
744,14879.999,1787268355886.920,169437164.217,0.000000000,-9.802358627,0.131548539,-0.258535713
745,14899.997,1787268355906.918,169437184.215,0.000000000,-9.802362442,0.131394282,-0.258487165
746,14920.003,1787268355926.924,169437204.221,0.000000000,-9.802353859,0.131445885,-0.258827567
747,14940.001,1787268355946.922,169437224.219,0.000000000,-9.802357674,0.131512970,-0.258597553
748,14959.990,1787268355966.911,169437244.209,0.000000000,-9.802394867,0.131348655,-0.257351756
749,14979.988,1787268355986.910,169437264.207,0.000000000,-9.802403450,0.131333157,-0.256979764
750,14999.990,1787268356006.911,169437284.208,0.000000000,-9.802423477,0.131531641,-0.256094992
751,15019.999,1787268356026.920,169437304.217,0.000000000,-9.802460670,0.130949184,-0.255010903
752,15040.116,1787268356047.037,169437324.335,0.000000000,-9.802468300,0.131193176,-0.254603952
753,15059.992,1787268356066.913,169437344.210,0.000000000,-9.802462578,0.131436184,-0.254671723
754,15079.990,1787268356086.911,169437364.208,0.000000000,-9.802448273,0.131333113,-0.255230606
755,15100.000,1787268356106.921,169437384.218,0.000000000,-9.802438736,0.131277472,-0.255663872
756,15119.991,1787268356126.912,169437404.209,0.000000000,-9.802411079,0.131272390,-0.256712466
757,15140.000,1787268356146.921,169437424.218,0.000000000,-9.802410126,0.131213471,-0.256772339
758,15160.003,1787268356166.924,169437444.221,0.000000000,-9.802402496,0.131353781,-0.256956100
759,15179.998,1787268356186.919,169437464.217,0.000000000,-9.802388191,0.131474078,-0.257497728
760,15200.010,1787268356206.931,169437484.228,0.000000000,-9.802376747,0.131359577,-0.257967532
761,15220.001,1787268356226.922,169437504.219,0.000000000,-9.802375793,0.131140083,-0.258114964
762,15239.992,1787268356246.913,169437524.210,0.000000000,-9.802373886,0.131347567,-0.258089393
763,15259.990,1787268356266.911,169437544.208,0.000000000,-9.802366257,0.131676689,-0.258214116
764,15280.030,1787268356286.951,169437564.248,0.000000000,-9.802372932,0.131683156,-0.257972032
765,15299.988,1787268356306.909,169437584.207,0.000000000,-9.802372932,0.132056609,-0.257775098
766,15319.998,1787268356326.919,169437604.216,0.000000000,-9.802387238,0.131984621,-0.257313281
767,15339.999,1787268356346.920,169437624.218,0.000000000,-9.802386284,0.132011279,-0.257266223
768,15360.001,1787268356366.922,169437644.220,0.000000000,-9.802369118,0.132230356,-0.257758379
769,15379.999,1787268356386.920,169437664.218,0.000000000,-9.802368164,0.132374704,-0.257715642
770,15400.002,1787268356406.923,169437684.220,0.000000000,-9.802367210,0.132138059,-0.257966757
771,15420.002,1787268356426.923,169437704.220,0.000000000,-9.802373886,0.131764442,-0.257796884
772,15439.994,1787268356446.915,169437724.213,0.000000000,-9.802372932,0.131848037,-0.257841110
773,15459.995,1787268356466.916,169437744.214,0.000000000,-9.802365303,0.131966382,-0.258080095
774,15479.993,1787268356486.915,169437764.212,0.000000000,-9.802368164,0.131426528,-0.258251816
775,15499.993,1787268356506.914,169437784.211,0.000000000,-9.802363396,0.131418958,-0.258483917
776,15519.999,1787268356526.920,169437804.217,0.000000000,-9.802356720,0.131237522,-0.258826166
777,15539.989,1787268356546.910,169437824.207,0.000000000,-9.802356720,0.131270751,-0.258763850
778,15559.993,1787268356566.915,169437844.212,0.000000000,-9.802362442,0.131355017,-0.258544445
779,15579.995,1787268356586.916,169437864.213,0.000000000,-9.802349091,0.131590709,-0.258941978
780,15599.992,1787268356606.913,169437884.210,0.000000000,-9.802345276,0.131520808,-0.259112567
781,15619.994,1787268356626.915,169437904.212,0.000000000,-9.802338600,0.131701097,-0.259244680
782,15639.992,1787268356646.913,169437924.210,0.000000000,-9.802320480,0.131804034,-0.259894669
783,15659.988,1787268356666.909,169437944.206,0.000000000,-9.802318573,0.131460607,-0.260098875
784,15680.003,1787268356686.924,169437964.222,0.000000000,-9.802320480,0.131406888,-0.260120243
785,15700.001,1787268356706.922,169437984.220,0.000000000,-9.802336693,0.131280288,-0.259496540
786,15720.004,1787268356726.925,169438004.222,0.000000000,-9.802331924,0.131428659,-0.259654284
787,15740.003,1787268356746.924,169438024.221,0.000000000,-9.802328110,0.131595969,-0.259723395
788,15759.992,1787268356766.914,169438044.211,0.000000000,-9.802333832,0.131602734,-0.259507209
789,15779.996,1787268356786.917,169438064.214,0.000000000,-9.802330971,0.131437063,-0.259659320
790,15799.992,1787268356806.913,169438084.210,0.000000000,-9.802319527,0.131396353,-0.260133833
791,15819.992,1787268356826.913,169438104.210,0.000000000,-9.802317619,0.131426081,-0.260167241
792,15840.002,1787268356846.923,169438124.220,0.000000000,-9.802318573,0.131374642,-0.260224730
793,15860.005,1787268356866.926,169438144.223,0.000000000,-9.802327156,0.131399766,-0.259806812
794,15880.002,1787268356886.923,169438164.220,0.000000000,-9.802343369,0.131271362,-0.259302706
795,15899.999,1787268356906.920,169438184.217,0.000000000,-9.802349091,0.131337672,-0.259009391
796,15919.989,1787268356926.910,169438204.207,0.000000000,-9.802360535,0.131326094,-0.258567840
797,15940.001,1787268356946.922,169438224.219,0.000000000,-9.802368164,0.131247401,-0.258322030
798,15959.999,1787268356966.920,169438244.218,0.000000000,-9.802360535,0.131133392,-0.258690923
799,15979.997,1787268356986.918,169438264.215,0.000000000,-9.802346230,0.131131202,-0.259192735
800,15999.991,1787268357006.912,169438284.209,0.000000000,-9.802345276,0.131057531,-0.259339213
801,16019.998,1787268357026.919,169438304.216,0.000000000,-9.802342415,0.131126985,-0.259401411
802,16039.989,1787268357046.910,169438324.208,0.000000000,-9.802324295,0.130928606,-0.260186821
